Tweet_count,Username,Text,Created At,Retweets,Likes
39,Chandru,"This is so pathetic 😡 @DhruvaSarja 

I have booked #Martin First Show from my own money &amp; those uncultured Dhruva Goons pushed me aside and sat in my seat. 

If i ask.. They tell ""Ivattu yav Bookings illa, nadiyo side ge "" 
No one deserves this aggressive thing for what we do 💔 https://t.co/utBYIeTYlT",Fri Oct 11 05:52:51 +0000 2024,107,725
40,Dalpatsingh (Hindu),"#Martin All the best from Appu fans 
 #Drpuneethrajkumar #martinthemovie https://t.co/hxpnheThz1",Fri Oct 11 04:20:19 +0000 2024,54,61
41,E=mc^2,"𝐈𝐍𝐃𝐈𝐀𝐍 𝐇𝐔𝐋𝐊 𝐑𝐇𝐈𝐍𝐎 💥🥵🔥

#Martin Part 2 ??? https://t.co/GyVKFwtlq8",Fri Oct 11 13:48:46 +0000 2024,6,21
42,afcstuff,"🚨 Contrary to reports on social media, Martin Ødegaard has NOT suffered a setback, with Arsenal hopeful he can return from his ankle injury in November. [Sky] https://t.co/XgfsG89Z9v",Sat Oct 12 11:52:19 +0000 2024,31,240
43,clinical odegaard🇸🇯,"Honestly, how bad do you miss Martin ødegaard 🥲🥺? https://t.co/ltMyB0BlK5",Fri Oct 11 11:17:10 +0000 2024,8,117
44,aditi avasthi,"Daddy,daughter &amp; Dhruva!!
All the best for #Martin @DhruvaSarja @choudhryrahul https://t.co/q1XItaviJc",Wed Oct 09 08:57:02 +0000 2024,1,26
45,👑Vk18xNtr🐅,ST: #Martin https://t.co/450QfIEtex,Fri Oct 11 14:48:30 +0000 2024,0,2
46,ALWIN MAJO,"Whole Industry 🙄
BOLLYWOOD #Jigra AND VICKY VIDYA
SANDALWOOD #MARTIN
TOLLYWOOD #Viswam  and #DEVARA
3rd week
KOLLYWOOD #Vettaiyan

Not whole indian Industry 

Mollywood Industry ✅ https://t.co/pMhKgeDVlF",Thu Oct 10 06:32:07 +0000 2024,0,0
47,ರಾಜಾ ಹುಲಿ,Yakro shows na cancel madtha idira 🙄 #MartinOnOct11th #Martin https://t.co/8D6C6WSsng,Mon Oct 07 11:27:00 +0000 2024,0,6
48,ꜱᴘɪᴅᴇʏシ︎,"Martin set a new record in KFI 🔥🔥🔥

#Martin https://t.co/GN4GGHDoUw",Sat Oct 12 04:48:52 +0000 2024,6,52
49,Vaas Montenegro,"Don't ask #Martin movie reviews to those who've watched it.

The reviews: https://t.co/axOPzxe92E",Fri Oct 11 12:50:43 +0000 2024,69,209
50,Masala Dose - ಮಸಾಲೆ ದೋಸೆ,"Cutout in Hyderabad 

#Martin https://t.co/OrYOc3uYVw",Thu Oct 10 07:31:37 +0000 2024,14,200
51,Digi Star,"#Martin — Stay away from this most awaited movie. The plot, execution, direction, and everything else has gone for a toss. Such a huge disappointment! https://t.co/Mtd3whoJwx",Fri Oct 11 07:27:25 +0000 2024,130,469
52,Ranoji Parit,"Single Huliii❤
Jai dboss🐘
#Darshan  #DBoss𓃰  #Martin https://t.co/t0OOok512J",Fri Oct 11 12:07:11 +0000 2024,0,1
53,VEN🔑,St #martin 💥 https://t.co/ROqeUu9sce,Fri Oct 11 12:20:35 +0000 2024,2,4
54,KFI,"It's a challenge between our D boss fans and Dhruva Sarja fans. Let's see 
Retweet for #Dboss #Navagraha 
Like for #DhruvaSarja #Martin 
#Vettaiyan #PAKvENG #BabarAzam𓃵 
#ZAAR @ordzaar #Milton #RatanTataSir https://t.co/oP8roaZVZs",Fri Oct 11 09:21:35 +0000 2024,6,23
55,Masala Dose - ಮಸಾಲೆ ದೋಸೆ,Any premiere shows for #Martin ?? https://t.co/E82wnzGUCC,Wed Oct 09 15:53:46 +0000 2024,0,14
56,Karnataka Box Office | ಕರ್ನಾಟಕ ಬಾಕ್ಸ್ ಆಫೀಸ್,"Blockbuster Openings for #Martin 💥

Worldwide Day 1 GROSS -&gt; 9.1CR 🥁🥁

#MartinTheMovie #Kaaatera #Darshan
#DhruvaSarja #DarshanThoogudeepa https://t.co/kLGNIlTrUE",Sat Oct 12 03:09:21 +0000 2024,66,320
