Tweet_count,Username,Text,Created At,Retweets,Likes
80,🦇 El Justiciero,"🚨 Policía abatió a un delincuente venezolano que perseguía a un joven a balazos; el delincuente abrió fuego primero contra el vehículo policial en el óvalo Canta Callao, San Martín de Porres.

¿Apoyas que se les aplique plomoterapia a estas porquerías que vinieron a destruir el https://t.co/sZY2BqiLbb",Sat Oct 05 02:46:19 +0000 2024,1291,18890
81,Carlo Martin,"⚠️ | Para los q no saben el historial del nuevo cardenal, Carlos Castillo, antes de convertirse en cura, estudió sociología y obtuvo bachillerato en Ciencias Sociales por la UNMSM, además, tuvo vínculos con el Partido Comunista y SL. ¿Ahora entienden porqué los zurdetes celebran? https://t.co/rLTVwf8aFJ",Sun Oct 06 23:07:08 +0000 2024,650,1309
82,Carlo Martin,"🚨 | REPUGNANTE: En SJL, un NIÑO es violentamente asaltado por unos delincuentes, lo molieron a golpes solo para quitarle una mochila, ni los sistemas de seguridad que tienen los vecinos de la zona, pudieron evitar el asalto. ¿Éstos criminales merecen tener DDHH? https://t.co/Y1sxT4axYF",Thu Oct 03 16:29:41 +0000 2024,1559,5296
83,SS Music,"Happy Birthday Action Prince @DhruvaSarja 🔥💥

#Martin From October 11th in theatres 💥 
#HBDDhruvaSarja

Produced by @princekukm, Directed by @AP_Arjun_film

@I_am_Vaibhavi @RaviBasrur @Martinthemoviee #VasaviEnterprises #APArjunFilms @akarjunofficial  @AnveshiJain25 @teamaimpr https://t.co/FxJh7AJC73",Sun Oct 06 08:21:29 +0000 2024,1,12
84,Karnataka Box Office | ಕರ್ನಾಟಕ ಬಾಕ್ಸ್ ಆಫೀಸ್,"We shouldn't stop tweeting about #Devara when it's performing good amidst the new releases like #Martin &amp; #Vettaiyan.

More than 80 Shows are for DEVARA in Bengaluru Region 💥💥

@tarak9999 👌👌 https://t.co/F25becX8wN",Fri Oct 11 03:32:54 +0000 2024,360,1457
85,SRi Harsha 😈,"Ee roju release undhaa ledhaa asalu idhi, bokkalo Distributor issues mundey clear chesukovaali gaara Producer maawa bro  #Martin https://t.co/e2U6s2gDUJ",Fri Oct 11 03:55:42 +0000 2024,0,4
86,Muttu Kiccha✨🔥,"ST: #Martin 

Noduva Movie Hegide Antha 
#KicchaSudeep https://t.co/XSfUrjzjF2",Fri Oct 11 15:20:18 +0000 2024,0,1
87,Vimal,"#Martin 

@VCinemaBengalur https://t.co/0YOU8jXt9g",Fri Oct 11 04:20:54 +0000 2024,6,39
88,Grand Cinemas,#Martin #MartinOnOct11th #DhruvaSarja .In Kannada and Tamil. @NamCinema @KannadigaTwiter @Kannadacinema24 @Kannadacinema77 @KA_Talkies @OnlySandalwood @KarnatakaBoxOff https://t.co/H5ruzXrcv6,Thu Oct 10 08:41:18 +0000 2024,2,12
89,Santi™,"🚨🚨| BREAKING: Martin Ødegaard has suffered a setback in his recovery from injury.. Return date now set for December. 

We don't deserve this man. https://t.co/7RkTgju1Kf",Fri Oct 11 10:53:33 +0000 2024,116,3095
90,Karnataka Talkies,"Excellent day ongoing at Mysuru City Box office today 💥💥

FF/SO upcoming shows -
👉 #Vettaiyan - 12
👉 #Martin - 10
👉 #Jigra - 3 https://t.co/MVJ2XxWvQi",Sat Oct 12 09:59:48 +0000 2024,193,414
91,Sidಅರ್ಥ,"Movie Mugithu, no review from My side 🙂. Reason Kannadiga agni awre kottavre, Same same No Different 🤍

Recent Worst Movie 🤮
One Time Watchable 

#Martin https://t.co/c8BqVcSJhL",Fri Oct 11 12:46:29 +0000 2024,26,61
